Id,sig,Color
n140,0.29729508492891393,#450356
n141,0.009504944799392508,#440154
n142,1.0742069533585936,#46085B
n143,0.6171928498303536,#450558
n144,3.0768098522218112,#481668
n145,0.004543362362902372,#440154
n146,1.2467097415428467,#46095D
n147,0.16712239439354806,#440255
n148,0.32963134634553604,#450356
n149,1.2242567824369408,#46095C
n150,1.9325237098589765,#470E61
n151,2.723399363964412,#481466
n152,0.01237165309243071,#440154
n153,0.4612452577999514,#450457
n154,0.8421160638893597,#45065A
n155,1.8729002155179169,#470E61
n156,7.347522254744957,#472F7D
n157,4.732162026715732,#482071
n158,1.376767255510514,#460A5D
n159,11.997090574321165,#3F4989
n160,2.221785466950564,#471063
n161,4.508103292072041,#481F70
n162,1.588333846645558,#460C5F
n163,1.0694470155145932,#46085B
n164,1.7742003211154538,#470D60
n165,2.2240237780516896,#471063
n166,3.5660707025754816,#48196B
n167,3.362730004863964,#48186A
n168,3.5862515653481792,#48196B
n169,1.92469193601827,#470E61
n170,3.2680936211575284,#481769
n171,1.6298760100475096,#470C5F
n172,2.003005944714614,#470F62
n173,2.5286294367154443,#471265
n174,1.2515471944312135,#46095D
n175,1.5013248268818036,#460B5E
n176,1.7408854446694495,#470D60
n177,2.40255249560591,#471164
n178,0.4033455370613707,#450457
n179,8.656779546352846,#453781
n180,4.070796577563055,#481C6E
n181,2.751935102487835,#481466
n182,3.8232763435362886,#481A6C
n183,0.02496215590559291,#440154
n184,0.27398027409880393,#450356
n185,2.7661694557973764,#481466
n186,2.6792373181042657,#481366
n187,2.3593200516007067,#471164
n188,11.06341860172996,#414487
n189,7.217995247102922,#472E7C
n190,0.09087899144803795,#440255
n191,6.719198767267392,#472C7A
n192,0.11568412415202889,#440255
n193,4.098813695602101,#481C6E
n194,0.025836225608240334,#440154
n195,1.7058292235322288,#470D60
n196,11.995308230349728,#3F4989
n197,11.661360601685294,#3F4788
n198,5.040651925066208,#482273
n199,0.25129451947774556,#450356
n200,14.406408315608866,#39558C
n201,6.565056597097293,#472B7A
n202,4.266566068053819,#481D6F
n203,2.4719557275218307,#471265
n204,2.716418529329741,#481466
n205,1.2324119950774655,#46095D
n206,0.07295462400465669,#440255
n207,0.4304691972430042,#450457
n208,15.348588232596763,#375A8C
n209,1.3151642039477165,#460A5D
n210,8.962446455015092,#453882
n211,0.40447007432942095,#450457
n212,1.1204798299682024,#46085C
n213,2.575353265074519,#471365
n214,2.538083862313673,#471265
n215,4.237002396254336,#481D6F
n216,14.727502556351004,#39578C
n217,2.2745120939425627,#471163
n218,1.0662844833643386,#46085B
n219,0.07045861846399962,#440254
n220,0.06313635399472321,#440254
n221,1.3521624674770802,#460A5D
n222,0.04616496287575842,#440154
n223,0.2251042150648031,#440356
n224,0.3529117747092982,#450356
n225,0.04564236862569025,#440154
n226,0.00016503170795207798,#440154
n227,0.4497639021651948,#450457
n228,1.502798266045319,#460B5E
n229,1.1387675311168788,#46085C
n230,0.0796313564494128,#440255
n231,3.5465202523977664,#48196B
n232,3.3453034720986556,#48186A
n233,2.411300550956814,#471264
n234,0.5664383106682441,#450558
n235,0.010575249986481128,#440154
n236,0.4596103163459312,#450457
n237,0.561539048625263,#450558
n238,0.38516185156051,#450357
n239,1.3612277192531586,#460A5D
n240,0.0019702147525778447,#440154
n241,2.3260935341336353,#471164
n242,0.545022157107956,#450458
n243,0.2581431175698712,#450356
n244,1.1185020248736812,#46085C
n245,0.7573978922462629,#450659
n246,0.0005099834774297444,#440154
n247,0.008098065424932733,#440154
n248,1.2258245229461784,#46095C
n249,0.21433039477048962,#440256
